level,file_path,device_pair,mldrive_id,epochs_detected,final_train_accuracy,final_val_accuracy,train_minus_val,total_params,trainable_params,non_trainable_params,eval_stats_path,status
per_file,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_2.00.resize_2.00/nvme14n1...nvme15n1/flashnet/training_results/mldrive0results.txt,nvme14n1...nvme15n1,mldrive0,6,0.8494,0.8474,0.002,3745,3745,0,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_2.00.resize_2.00/nvme14n1...nvme15n1/flashnet/training_results/mldrive0/nnK/eval.stats,ok
per_file,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_2.00.resize_2.00/nvme14n1...nvme15n1/flashnet/training_results/mldrive1results.txt,nvme14n1...nvme15n1,mldrive1,5,0.8978,0.8984,-0.0006,3745,3745,0,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_2.00.resize_2.00/nvme14n1...nvme15n1/flashnet/training_results/mldrive1/nnK/eval.stats,ok
per_file,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_4.00/nvme0n1...nvme2n1/flashnet/training_results/mldrive0results.txt,nvme0n1...nvme2n1,mldrive0,11,0.8036,0.8061,-0.0025,3745,3745,0,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_4.00/nvme0n1...nvme2n1/flashnet/training_results/mldrive0/nnK/eval.stats,ok
per_file,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_4.00/nvme0n1...nvme2n1/flashnet/training_results/mldrive1results.txt,nvme0n1...nvme2n1,mldrive1,10,0.8539,0.8577,-0.0038,3745,3745,0,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_4.00/nvme0n1...nvme2n1/flashnet/training_results/mldrive1/nnK/eval.stats,ok
per_file,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_4.00/nvme14n1...nvme15n1/flashnet/training_results/mldrive0results.txt,nvme14n1...nvme15n1,mldrive0,7,0.8368,0.8369,-0.0001,3745,3745,0,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_4.00/nvme14n1...nvme15n1/flashnet/training_results/mldrive0/nnK/eval.stats,ok
per_file,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_4.00/nvme14n1...nvme15n1/flashnet/training_results/mldrive1results.txt,nvme14n1...nvme15n1,mldrive1,8,0.8924,0.8933,-0.0009,3745,3745,0,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_4.00/nvme14n1...nvme15n1/flashnet/training_results/mldrive1/nnK/eval.stats,ok
per_file,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.overall_p25.alibaba_9076.45/tencent.per_3mins.write_p100.2018-10-09-04.12/modified.rerate_0.50...modified.rerate_0.50/nvme0n1...nvme2n1/flashnet/training_results/mldrive0results.txt,nvme0n1...nvme2n1,mldrive0,7,0.8337,0.8407,-0.007,3745,3745,0,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.overall_p25.alibaba_9076.45/tencent.per_3mins.write_p100.2018-10-09-04.12/modified.rerate_0.50...modified.rerate_0.50/nvme0n1...nvme2n1/flashnet/training_results/mldrive0/nnK/eval.stats,ok
per_file,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.overall_p25.alibaba_9076.45/tencent.per_3mins.write_p100.2018-10-09-04.12/modified.rerate_0.50...modified.rerate_0.50/nvme0n1...nvme2n1/flashnet/training_results/mldrive1results.txt,nvme0n1...nvme2n1,mldrive1,7,0.8574,0.8535,0.0039,3745,3745,0,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.overall_p25.alibaba_9076.45/tencent.per_3mins.write_p100.2018-10-09-04.12/modified.rerate_0.50...modified.rerate_0.50/nvme0n1...nvme2n1/flashnet/training_results/mldrive1/nnK/eval.stats,ok
per_file,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.overall_p25.alibaba_9076.45/tencent.per_3mins.write_p100.2018-10-09-04.12/modified.rerate_0.50...modified.rerate_0.50/nvme14n1...nvme15n1/flashnet/training_results/mldrive0results.txt,nvme14n1...nvme15n1,mldrive0,5,0.8272,0.8262,0.001,3745,3745,0,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.overall_p25.alibaba_9076.45/tencent.per_3mins.write_p100.2018-10-09-04.12/modified.rerate_0.50...modified.rerate_0.50/nvme14n1...nvme15n1/flashnet/training_results/mldrive0/nnK/eval.stats,ok
per_file,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.overall_p25.alibaba_9076.45/tencent.per_3mins.write_p100.2018-10-09-04.12/modified.rerate_0.50...modified.rerate_0.50/nvme14n1...nvme15n1/flashnet/training_results/mldrive1results.txt,nvme14n1...nvme15n1,mldrive1,11,0.8702,0.8694,0.0008,3745,3745,0,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.overall_p25.alibaba_9076.45/tencent.per_3mins.write_p100.2018-10-09-04.12/modified.rerate_0.50...modified.rerate_0.50/nvme14n1...nvme15n1/flashnet/training_results/mldrive1/nnK/eval.stats,ok
per_file,/mnt/heimdall-exp/Heimdall/integration/client-level/data/msr.per_3mins.overall_p50.prxy_0.1490/msr.per_3mins.write_p100.src1_0.3047/modified.rw_ratio_40_60.rerate_8.00.resize_2.00...modified.rw_ratio_40_60.rerate_8.00.resize_2.00/nvme0n1...nvme2n1/flashnet/training_results/mldrive0results.txt,nvme0n1...nvme2n1,mldrive0,9,0.8701,0.8761,-0.006,3745,3745,0,/mnt/heimdall-exp/Heimdall/integration/client-level/data/msr.per_3mins.overall_p50.prxy_0.1490/msr.per_3mins.write_p100.src1_0.3047/modified.rw_ratio_40_60.rerate_8.00.resize_2.00...modified.rw_ratio_40_60.rerate_8.00.resize_2.00/nvme0n1...nvme2n1/flashnet/training_results/mldrive0/nnK/eval.stats,ok
per_file,/mnt/heimdall-exp/Heimdall/integration/client-level/data/msr.per_3mins.overall_p50.prxy_0.1490/msr.per_3mins.write_p100.src1_0.3047/modified.rw_ratio_40_60.rerate_8.00.resize_2.00...modified.rw_ratio_40_60.rerate_8.00.resize_2.00/nvme0n1...nvme2n1/flashnet/training_results/mldrive1results.txt,nvme0n1...nvme2n1,mldrive1,7,0.8734,0.8746,-0.0012,3745,3745,0,/mnt/heimdall-exp/Heimdall/integration/client-level/data/msr.per_3mins.overall_p50.prxy_0.1490/msr.per_3mins.write_p100.src1_0.3047/modified.rw_ratio_40_60.rerate_8.00.resize_2.00...modified.rw_ratio_40_60.rerate_8.00.resize_2.00/nvme0n1...nvme2n1/flashnet/training_results/mldrive1/nnK/eval.stats,ok
per_file,/mnt/heimdall-exp/Heimdall/integration/client-level/data/msr.per_3mins.overall_p50.prxy_0.1490/msr.per_3mins.write_p100.src1_0.3047/modified.rw_ratio_40_60.rerate_8.00.resize_2.00...modified.rw_ratio_40_60.rerate_8.00.resize_2.00/nvme14n1...nvme15n1/flashnet/training_results/mldrive0results.txt,nvme14n1...nvme15n1,mldrive0,8,0.8563,0.8547,0.0016,3745,3745,0,/mnt/heimdall-exp/Heimdall/integration/client-level/data/msr.per_3mins.overall_p50.prxy_0.1490/msr.per_3mins.write_p100.src1_0.3047/modified.rw_ratio_40_60.rerate_8.00.resize_2.00...modified.rw_ratio_40_60.rerate_8.00.resize_2.00/nvme14n1...nvme15n1/flashnet/training_results/mldrive0/nnK/eval.stats,ok
per_file,/mnt/heimdall-exp/Heimdall/integration/client-level/data/msr.per_3mins.overall_p50.prxy_0.1490/msr.per_3mins.write_p100.src1_0.3047/modified.rw_ratio_40_60.rerate_8.00.resize_2.00...modified.rw_ratio_40_60.rerate_8.00.resize_2.00/nvme14n1...nvme15n1/flashnet/training_results/mldrive1results.txt,nvme14n1...nvme15n1,mldrive1,7,0.8904,0.8901,0.0003,3745,3745,0,/mnt/heimdall-exp/Heimdall/integration/client-level/data/msr.per_3mins.overall_p50.prxy_0.1490/msr.per_3mins.write_p100.src1_0.3047/modified.rw_ratio_40_60.rerate_8.00.resize_2.00...modified.rw_ratio_40_60.rerate_8.00.resize_2.00/nvme14n1...nvme15n1/flashnet/training_results/mldrive1/nnK/eval.stats,ok
global_summary,/mnt/heimdall-exp/Heimdall/integration/client-level/data,,,,0.849146,0.849583,-0.000438,3745.0,3745.0,0.0,,"parsed=24 skipped=0 train[min,max]=[0.771800,0.897900] val[min,max]=[0.772200,0.898400] gap[min,max]=[-0.007000,0.004900] total_params[min,max]=[3745,3745] trainable[min,max]=[3745,3745] non_trainable[min,max]=[0,0]"
